run_id,preset,seed,tau,T,train_frac,burn_in,k_macro,order,budget_states,budget_params,nll,nll_exact,hyy_theory,delta_to_hyy
20260306_124950_4f2581fd,hidden_types_strong,20260305,1,10000,0.5,1000,3,0,1,2,1.0956531499870579,1.0956531499870579,1.0495346570757442,0.04611849291131365
20260306_124950_4f2581fd,hidden_types_strong,20260305,1,10000,0.5,1000,3,1,3,6,1.0439373463965227,1.0439373463965227,1.0495346570757442,-0.005597310679221534
20260306_124950_4f2581fd,hidden_types_strong,20260305,1,10000,0.5,1000,3,2,9,18,1.038552865956148,1.038552865956148,1.0495346570757442,-0.010981791119596185
20260306_124950_4f2581fd,hidden_types_strong,20260305,1,10000,0.5,1000,3,3,27,54,1.038552865956148,1.0413840972840596,1.0495346570757442,-0.010981791119596185
20260306_124950_4f2581fd,hidden_types_strong,20260305,1,10000,0.5,1000,3,4,81,162,1.038552865956148,1.0542880461146082,1.0495346570757442,-0.010981791119596185
20260306_124950_4f2581fd,hidden_types_strong,20260305,1,10000,0.5,1000,3,5,243,486,1.038552865956148,1.289730382262186,1.0495346570757442,-0.010981791119596185
