run_id,distribution,n_bits,q,trials,m_bits,dictionary_size,mix_dict_weight,empirical_success,baseline_q_over_2n,baseline_exact,abs_err_to_q_over_2n,success_se
20260306_124951_437c68e1,low_entropy,16,64,300,32,256,0.5,0.25,0.0009765625,0.0009760932614082396,0.2490234375,0.025
20260306_124951_437c68e1,low_entropy,16,256,300,32,256,0.5,1.0,0.00390625,0.0038986602163182393,0.99609375,0.0
20260306_124951_437c68e1,low_entropy,16,1024,300,32,256,0.5,1.0,0.015625,0.015503680356899308,0.984375,0.0
20260306_124951_437c68e1,low_entropy,20,1,300,32,256,0.5,0.0033333333333333335,9.5367431640625e-07,9.5367431640625e-07,0.0033323796590169273,0.003327773140415986
20260306_124951_437c68e1,low_entropy,20,4,300,32,256,0.5,0.006666666666666667,3.814697265625e-06,3.8146918086567894e-06,0.006662851969401042,0.0046983054470813275
20260306_124951_437c68e1,low_entropy,20,16,300,32,256,0.5,0.05,1.52587890625e-05,1.5258679923579876e-05,0.0499847412109375,0.012583057392117916
20260306_124951_437c68e1,low_entropy,20,64,300,32,256,0.5,0.25,6.103515625e-05,6.1033322744763474e-05,0.24993896484375,0.025
20260306_124951_437c68e1,low_entropy,20,256,300,32,256,0.5,1.0,0.000244140625,0.00024411094148979462,0.999755859375,0.0
20260306_124951_437c68e1,low_entropy,20,1024,300,32,256,0.5,1.0,0.0009765625,0.0009760862832314254,0.9990234375,0.0
20260306_124951_437c68e1,medium_mixture,8,1,300,32,256,0.5,0.0,0.00390625,0.00390625,0.00390625,0.0
20260306_124951_437c68e1,medium_mixture,8,4,300,32,256,0.5,0.01,0.015625,0.015533685451373458,0.005625,0.005744562646538029
20260306_124951_437c68e1,medium_mixture,8,16,300,32,256,0.5,0.08333333333333333,0.0625,0.06070190410618359,0.02083333333333333,0.015957118462605634
20260306_124951_437c68e1,medium_mixture,8,64,300,32,256,0.5,0.32666666666666666,0.25,0.22158039064455715,0.07666666666666666,0.027077392510823216
20260306_124951_437c68e1,medium_mixture,8,256,300,32,256,0.5,0.81,1.0,0.6328402451084638,0.18999999999999995,0.02264950330581225
20260306_124951_437c68e1,medium_mixture,8,1024,300,32,256,0.5,0.99,1.0,0.9818272653594924,0.010000000000000009,0.005744562646538031
20260306_124951_437c68e1,medium_mixture,12,1,300,32,256,0.5,0.0,0.000244140625,0.000244140625,0.000244140625,0.0
20260306_124951_437c68e1,medium_mixture,12,4,300,32,256,0.5,0.0033333333333333335,0.0009765625,0.0009762049303354559,0.0023567708333333335,0.003327773140415986
20260306_124951_437c68e1,medium_mixture,12,16,300,32,256,0.5,0.04,0.00390625,0.003899105585237317,0.03609375,0.01131370849898476
20260306_124951_437c68e1,medium_mixture,12,64,300,32,256,0.5,0.14,0.015625,0.01550544107641727,0.12437500000000001,0.020033305601755626
20260306_124951_437c68e1,medium_mixture,12,256,300,32,256,0.5,0.49333333333333335,0.0625,0.060594105478801286,0.43083333333333335,0.028864947344230254
20260306_124951_437c68e1,medium_mixture,12,1024,300,32,256,0.5,0.6,0.25,0.22122298754861836,0.35,0.0282842712474619
20260306_124951_437c68e1,medium_mixture,16,1,300,32,256,0.5,0.0,1.52587890625e-05,1.52587890625e-05,1.52587890625e-05,0.0
20260306_124951_437c68e1,medium_mixture,16,4,300,32,256,0.5,0.0033333333333333335,6.103515625e-05,6.103375928034893e-05,0.0032722981770833335,0.003327773140415986
20260306_124951_437c68e1,medium_mixture,16,16,300,32,256,0.5,0.03333333333333333,0.000244140625,0.00024411268731217017,0.03308919270833333,0.010363754503432016
20260306_124951_437c68e1,medium_mixture,16,64,300,32,256,0.5,0.11333333333333333,0.0009765625,0.0009760932614082396,0.11235677083333333,0.018301993415007094
20260306_124951_437c68e1,medium_mixture,16,256,300,32,256,0.5,0.4633333333333333,0.00390625,0.0038986602163182393,0.4594270833333333,0.028789787283893777
20260306_124951_437c68e1,medium_mixture,16,1024,300,32,256,0.5,0.47333333333333333,0.015625,0.015503680356899308,0.45770833333333333,0.028826428203351226
20260306_124951_437c68e1,medium_mixture,20,1,300,32,256,0.5,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0
20260306_124951_437c68e1,medium_mixture,20,4,300,32,256,0.5,0.0033333333333333335,3.814697265625e-06,3.8146918086567894e-06,0.0033295186360677085,0.003327773140415986
20260306_124951_437c68e1,medium_mixture,20,16,300,32,256,0.5,0.03,1.52587890625e-05,1.5258679923579876e-05,0.0299847412109375,0.009848857801796104
20260306_124951_437c68e1,medium_mixture,20,64,300,32,256,0.5,0.11,6.103515625e-05,6.1033322744763474e-05,0.10993896484375,0.018064698539785637
20260306_124951_437c68e1,medium_mixture,20,256,300,32,256,0.5,0.46,0.000244140625,0.00024411094148979462,0.459755859375,0.02877498913987632
20260306_124951_437c68e1,medium_mixture,20,1024,300,32,256,0.5,0.46,0.0009765625,0.0009760862832314254,0.4590234375,0.02877498913987632
